Bowler,Runs,ReleaseY,ReleaseZ,Bowler Type
MJ Potts,0,-0.606184,1.8735394,RM
MJ Potts,0,-0.618694,1.9905929,RM
MJ Potts,0,0.7518027,2.0448051,RM
MJ Potts,4,0.7782236,2.0814637,RM
MJ Potts,0,-0.6150733,1.9901145,RM
MJ Potts,4,0.7690105,2.029197,RM
MJ Potts,0,0.6690542,1.9975214,RM
MJ Potts,2,0.7177513,2.0199055,RM
MJ Potts,0,0.7478256,2.0307205,RM
MJ Potts,0,0.7427234,2.0119466,RM
MJ Potts,0,0.8527933,2.078702,RM
CF Parkinson,0,1.0579075,2.0563534,LOB
MJ Potts,2,-0.6520441,1.8417402,RM
MJ Potts,0,-0.8030381,1.8629238,RM
MJ Potts,0,0.9142414,2.0723385,RM
MJ Potts,0,0.8033787,2.049063,RM
CF Parkinson,0,-0.8050085,2.096351,LOB
CF Parkinson,0,-0.7626079,2.1119153,LOB
MJ Potts,1,0.7940305,2.0286036,RM
MJ Potts,0,-0.6146205,1.8251174,RM
MJ Potts,0,-0.6237839,2.0055632,RM
MJ Potts,0,-0.6921051,2.032597,RM
MJ Potts,0,-0.6316797,1.9630787,RM
MJ Potts,0,0.8270815,2.0174625,RM
MJ Potts,0,0.7797993,2.045655,RM
MJ Potts,0,0.7139338,1.9838662,RM
MJ Potts,0,0.7981971,2.0607648,RM
MJ Potts,0,0.6785168,1.7575141,RM
CF Parkinson,0,-0.7122283,2.0579643,LOB
CF Parkinson,0,-0.6477077,2.0402252,LOB
CF Parkinson,0,-0.9169904,2.0953884,LOB
MJ Potts,0,0.8332476,2.0066979,RM
MJ Potts,0,0.782202,2.0201234,RM
MJ Potts,0,0.790231,2.0531033,RM
MJ Potts,0,0.771121,1.9903522,RM
MJ Potts,0,0.8373547,2.0752139,RM
MJ Potts,0,0.8228372,2.0465597,RM
CF Parkinson,0,-0.7331984,2.0733064,LOB
CF Parkinson,0,-0.8870341,2.0647757,LOB
CF Parkinson,0,-0.7802928,2.0214417,LOB
CF Parkinson,2,-0.7986943,2.064676,LOB
PM Siddle,0,0.7873713,2.060575,RFM
PM Siddle,0,0.7411064,2.0888513,RFM
PM Siddle,0,0.8327172,2.0435212,RFM
PM Siddle,0,0.9906728,2.0877026,RFM
PM Siddle,1,0.9201983,2.0275107,RFM
PM Siddle,0,-0.6600123,2.0530126,RFM
CF Parkinson,0,1.0318065,2.0549454,LOB
CF Parkinson,0,0.8645831,2.0506466,LOB
CF Parkinson,0,0.9355324,2.0845635,LOB
CF Parkinson,0,0.9657033,2.0528209,LOB
PM Siddle,1,-0.641606,2.1014519,RFM
PM Siddle,0,0.765001,2.0369954,RFM
PM Siddle,0,0.8759258,2.0635932,RFM
