Bowler,Runs,Batting Hand,ReleaseY,ReleaseZ,PitchX,PitchY,PastY,PastZ
CN Ackermann,0,RHB,-0.6759223,2.302258,4.3517952,-0.4813537,-0.3182818,0.6956496
CN Ackermann,2,RHB,-0.5959691,2.1547561,6.7547552,-0.5200434,-0.275994,0.9227844
CN Ackermann,0,RHB,-0.5729225,2.1815908,5.6469019,-0.1399842,0.2426015,0.6074138
BA Raine,0,LHB,0.9025754,2.085281,7.0273237,0.6279422,0.3617752,0.805057
BA Raine,1,LHB,0.9214566,2.1123243,7.2852932,0.4158781,0.0712871,0.575502
BA Raine,1,RHB,-0.6606227,2.0263338,8.3800306,-0.5682486,-0.2626033,0.8394347
BA Raine,0,LHB,0.9607975,2.0902932,7.0981852,0.3940497,-0.0718932,0.7739974
BA Raine,0,LHB,0.9319631,2.1003748,6.9278354,0.3033146,-0.0487565,0.5411992
BA Raine,1,LHB,0.8585447,2.0823625,6.2064227,0.1713794,-0.1834181,0.6807339
MJ Potts,1,LHB,0.7148429,1.9694429,8.755214,0.2856564,-0.252226,0.8142823
MJ Potts,0,RHB,-0.7253983,1.9858684,6.2698621,-0.4457567,-0.3487076,0.6917081
MJ Potts,0,RHB,-0.7202507,1.9659846,8.1966481,-0.3534214,-0.0717345,0.8080222
MJ Potts,0,RHB,-0.6465754,1.8712284,8.0538013,-0.387244,-0.1167809,0.9641078
MJ Potts,0,RHB,-0.6312001,1.929691,7.7583018,-0.1058335,0.1653095,0.8615955
BA Raine,0,LHB,0.920292,2.0859862,5.4784734,0.4352495,0.1837987,0.5940614
BA Raine,4,LHB,0.7439031,1.9529381,5.8790184,-0.0832362,-0.4996809,0.8375911
BA Raine,4,LHB,1.0103629,2.0951872,5.7376924,0.5584905,0.3538096,0.6519246
MJ Potts,0,RHB,-0.6562916,1.9741239,5.1371885,-0.1164225,0.0893711,0.5432106
MJ Potts,0,RHB,-0.6556356,1.8857574,7.4721826,-0.3182872,-0.0293914,0.8296729
MJ Potts,0,RHB,-0.6465927,1.8006669,7.9575124,-0.4369405,-0.3825099,0.7094776
BA Raine,0,LHB,-0.6889084,2.1308991,7.1056433,-0.0301612,0.3751021,0.6824872
BA Raine,1,LHB,-0.625712,2.1165835,4.3158387,-0.1486959,-0.1304642,0.3824969
BA Raine,0,RHB,-0.7523881,2.1302852,6.9266767,-0.5665478,-0.3670807,0.7514685
MJ Potts,0,LHB,-0.6640756,1.9932012,6.4329198,-0.0751518,0.1264142,0.5607815
MJ Potts,0,RHB,-0.6924781,1.8901899,7.8763393,-0.4858386,-0.2674157,0.8783647
MJ Potts,0,RHB,-0.6840062,1.9328243,7.2707193,-0.4927747,-0.289024,0.7919385
MJ Potts,0,RHB,-0.673516,1.9581246,7.6803993,-0.3815423,-0.1960805,0.8047269
BA Raine,0,RHB,-0.6450757,2.066085,6.8635654,-0.0694516,0.3490723,0.8354424
BA Raine,0,RHB,-0.7738731,2.1508136,8.3786681,-0.2895755,-0.019712,1.0291592
BA Raine,0,RHB,-0.6877282,2.1372998,6.3293807,-0.4393292,-0.3356897,0.705495
BA Raine,4,RHB,-0.8197489,2.1735992,3.7321075,-0.4825952,-0.4135009,0.5127071
BA Raine,0,RHB,-0.6648945,2.06886,7.8265161,-0.3810303,-0.2416781,0.9066581
MJ Potts,0,RHB,-0.6874888,1.9356892,7.7695984,-0.2756708,0.0344299,0.7375619
MJ Potts,0,RHB,-0.6608606,1.9107908,8.2600951,-0.2720494,0.1634706,0.975727
CF Parkinson,0,RHB,-0.682393,2.1013204,4.6814992,-0.1018694,-0.294161,0.737348
CF Parkinson,0,RHB,-0.6446475,2.1106496,5.5475377,-0.0119868,-0.2225798,0.6694291
MJ Potts,1,RHB,-0.6403882,1.9127008,7.0797324,-0.2985153,0.0085846,0.7616463
MJ Potts,0,RHB,-0.6800647,1.8812997,8.9153507,-0.3110582,0.2748105,0.9554559
MJ Potts,2,RHB,-0.6467441,1.9274056,6.6476572,-0.5404372,-0.4351848,0.6722322
MJ Potts,0,RHB,-0.7094159,1.9211954,7.6057565,-0.3233764,-0.0085581,0.9471034
MJ Potts,0,RHB,-0.7120313,1.929888,7.8010324,-0.3208664,-0.0579296,0.8685715
